Model,Accuracy,Precision,Recall,F1,ROC_AUC
Naive baseline,0.8037383177570093,0.0,0.0,0.0,0.5
Logistic Regression + SMOTE,0.6448598130841121,0.3191489361702128,0.7142857142857143,0.4411764705882353,0.7165005537098561
Random Forest tuned + SMOTE-CV,0.7476635514018691,0.4,0.5714285714285714,0.47058823529411764,0.8183831672203765
AdaBoost + SMOTE,0.7289719626168224,0.39473684210526316,0.7142857142857143,0.5084745762711864,0.804263565891473
