Model,Training,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,No SMOTE,0.822429906542056,0.6,0.2857142857142857,0.3870967741935484,0.7087486157253599
Logistic Regression,SMOTE,0.6355140186915887,0.3125,0.7142857142857143,0.43478260869565216,0.7159468438538206
Random Forest,No SMOTE,0.8130841121495327,0.5217391304347826,0.5714285714285714,0.5454545454545454,0.801218161683278
Random Forest,SMOTE,0.794392523364486,0.4827586206896552,0.6666666666666666,0.56,0.8305647840531561
AdaBoost,No SMOTE,0.7850467289719626,0.45,0.42857142857142855,0.43902439024390244,0.7591362126245846
AdaBoost,SMOTE,0.7476635514018691,0.42105263157894735,0.7619047619047619,0.5423728813559322,0.8114617940199336
